[35, 93, 55, 98, 60, 72, 53, 85, 9, 7, 27, 91, 62, 40, 72, 68, 65, 70, 94, 58, 37, 22, 51, 93, 83, 24, 91, 3, 41, 86]
[527, 290, 420, 612, 259, 625, 0, 397, 109, 567, 63, 849, 527, 390, 101, 736, 105, 821, 787, 641, 876, 736, 274, 834, 74, 508, 842, 623, 485, 821]
[2, 90, 15, 67, 81, 17, 31, 54, 5, 66, 46, 50, 23, 79, 23, 15, 51, 3, 68, 43, 81, 34, 23, 50, 91, 19, 97, 98, 12, 88]
[299, 529, 349, 29, 781, 105, 906, 87, 385, 1, 347, 79, 96, 200, 257, 342, 936, 519, 807, 220, 195, 329, 460, 377, 36, 207, 544, 611, 296, 669]
[87, 89, 15, 3, 41, 80, 5, 39, 82, 69, 35, 44, 23, 31, 73, 69, 29, 14, 5, 66, 22, 92, 56, 66, 87, 65, 67, 44, 17, 36]
[589, 242, 653, 922, 628, 708, 194, 470, 139, 684, 411, 617, 972, 764, 913, 80, 616, 525, 684, 815, 201, 551, 876, 153, 137, 751, 978, 28, 51, 23]
[11, 5, 45, 75, 81, 76, 60, 46, 50, 91, 84, 18, 83, 70, 54, 39, 62, 91, 73, 71, 63, 57, 92, 12, 69, 4, 7, 83, 70, 71]
[236, 892, 875, 854, 195, 262, 687, 701, 887, 221, 867, 981, 242, 494, 263, 662, 346, 763, 331, 100, 896, 239, 243, 218, 11, 524, 982, 379, 337, 4]
[31, 53, 29, 35, 75, 86, 49, 53, 65, 67, 86, 52, 38, 41, 80, 9, 42, 42, 28, 41, 61, 33, 55, 95, 57, 23, 20, 3, 80, 77]
[91, 258, 30, 934, 170, 581, 354, 760, 203, 644, 772, 600, 483, 492, 548, 605, 587, 862, 550, 346, 445, 146, 249, 773, 354, 235, 297, 786, 547, 743]
[5, 29, 34, 72, 80, 69, 56, 49, 34, 50, 74, 55, 5, 91, 28, 21, 80, 35, 72, 65, 88, 43, 74, 6, 84, 25, 8, 89, 35, 55]
[237, 398, 137, 627, 308, 903, 8, 115, 587, 728, 695, 929, 202, 82, 76, 372, 828, 984, 267, 627, 449, 650, 447, 730, 158, 830, 405, 103, 884, 992]
[40, 99, 49, 39, 13, 25, 31, 79, 38, 46, 31, 16, 14, 86, 44, 44, 45, 77, 79, 20, 10, 48, 95, 19, 91, 9, 66, 62, 97, 89]
[660, 679, 480, 217, 94, 185, 181, 562, 5, 347, 516, 465, 510, 458, 633, 669, 314, 789, 213, 706, 690, 932, 462, 73, 22, 717, 407, 931, 392, 884]
[60, 30, 28, 21, 9, 80, 34, 39, 31, 65, 71, 51, 66, 28, 62, 83, 15, 62, 54, 26, 70, 37, 65, 11, 2, 94, 96, 22, 35, 11]
[271, 836, 450, 727, 358, 545, 105, 780, 637, 63, 124, 185, 214, 381, 814, 172, 445, 197, 736, 983, 182, 877, 67, 793, 369, 879, 63, 611, 988, 156]
[35, 9, 37, 64, 93, 52, 69, 54, 99, 45, 67, 22, 51, 7, 9, 79, 69, 98, 46, 11, 98, 4, 21, 70, 12, 9, 10, 3, 39, 71]
[254, 131, 949, 514, 432, 642, 880, 983, 661, 951, 963, 0, 905, 970, 218, 845, 733, 726, 156, 273, 96, 975, 383, 948, 77, 305, 247, 168, 26, 355]
[99, 41, 85, 94, 89, 15, 7, 96, 51, 99, 67, 10, 14, 43, 44, 60, 59, 79, 67, 1, 39, 62, 51, 11, 97, 81, 93, 62, 93, 0]
[892, 685, 430, 475, 566, 475, 163, 45, 297, 282, 206, 496, 384, 179, 705, 776, 200, 494, 644, 909, 655, 761, 901, 839, 945, 966, 593, 613, 869, 51]
[37, 48, 83, 60, 72, 57, 66, 45, 80, 57, 7, 75, 36, 38, 39, 38, 41, 97, 0, 4, 83, 91, 60, 36, 55, 71, 55, 79, 95, 13]
[286, 675, 387, 555, 739, 241, 397, 174, 599, 354, 932, 755, 7, 275, 59, 408, 871, 870, 57, 623, 172, 410, 227, 863, 850, 24, 470, 103, 296, 431]
[29, 86, 98, 45, 59, 30, 88, 20, 91, 38, 98, 80, 92, 62, 54, 4, 65, 39, 54, 18, 65, 87, 62, 40, 40, 88, 75, 77, 88, 75]
[12, 498, 611, 888, 480, 902, 705, 773, 87, 601, 855, 963, 569, 66, 330, 530, 138, 716, 241, 664, 253, 251, 686, 541, 209, 562, 140, 33, 114, 103]
[71, 86, 6, 28, 81, 84, 83, 32, 41, 57, 66, 70, 37, 63, 95, 94, 24, 87, 54, 87, 58, 15, 40, 62, 17, 17, 73, 47, 85, 60]
[118, 878, 11, 273, 599, 188, 358, 815, 351, 216, 662, 111, 569, 433, 103, 557, 259, 354, 848, 32, 71, 944, 581, 116, 306, 532, 168, 493, 163, 38]
[63, 27, 29, 74, 78, 86, 62, 46, 30, 76, 96, 39, 35, 97, 68, 97, 14, 32, 74, 15, 51, 85, 43, 6, 81, 53, 72, 83, 70, 47]
[561, 567, 171, 772, 285, 362, 150, 21, 636, 377, 975, 830, 807, 478, 69, 189, 776, 609, 949, 127, 617, 879, 360, 82, 192, 123, 88, 297, 655, 383]
[8, 81, 72, 88, 76, 57, 82, 31, 54, 57, 35, 16, 35, 35, 0, 23, 58, 62, 77, 51, 90, 52, 79, 87, 35, 89, 11, 82, 18, 81]
[164, 220, 215, 95, 215, 758, 840, 30, 361, 153, 907, 520, 433, 383, 874, 643, 917, 162, 301, 659, 427, 521, 839, 17, 650, 95, 331, 22, 980, 756]
[38, 45, 88, 68, 25, 77, 38, 34, 24, 3, 17, 2, 19, 1, 56, 13, 21, 44, 50, 0, 48, 37, 9, 49, 83, 78, 65, 52, 33, 5]
[213, 442, 216, 782, 856, 849, 176, 142, 509, 138, 838, 674, 50, 86, 12, 221, 313, 588, 251, 669, 236, 9, 703, 850, 607, 969, 607, 731, 687, 524]
[4, 77, 50, 5, 20, 85, 50, 82, 26, 22, 81, 30, 59, 26, 42, 87, 96, 43, 74, 74, 42, 64, 53, 66, 30, 22, 36, 56, 81, 64]
