[14, 35, 87, 69, 81, 84, 49, 80, 39, 85, 68, 51, 30, 23, 38]
[302, 722, 4, 742, 507, 353, 802, 534, 408, 799, 351, 157, 247, 643, 937]
[16, 55, 77, 16, 43, 81, 55, 33, 67, 19, 81, 60, 90, 69, 21]
[3, 532, 915, 321, 562, 791, 896, 152, 35, 294, 118, 472, 356, 26, 845]
[48, 63, 88, 81, 52, 79, 94, 67, 50, 39, 88, 45, 30, 60, 79]
[797, 924, 881, 567, 77, 17, 258, 420, 189, 185, 385, 464, 317, 449, 634]
[26, 6, 29, 74, 20, 38, 78, 84, 86, 50, 43, 72, 9, 88, 55]
[627, 154, 95, 149, 307, 292, 341, 295, 340, 98, 998, 468, 822, 93, 750]
[33, 8, 77, 88, 23, 76, 53, 62, 73, 66, 59, 23, 48, 98, 29]
[901, 657, 682, 638, 795, 936, 479, 732, 124, 939, 801, 168, 805, 60, 559]
[57, 3, 82, 11, 41, 52, 41, 72, 32, 38, 68, 35, 5, 67, 35]
[662, 82, 659, 267, 828, 467, 699, 584, 230, 199, 427, 411, 941, 288, 970]
[0, 83, 4, 72, 46, 21, 64, 29, 13, 77, 96, 16, 20, 91, 96]
[360, 916, 989, 40, 691, 23, 350, 393, 840, 954, 927, 430, 338, 325, 219]
[58, 74, 56, 79, 90, 16, 37, 23, 60, 24, 20, 66, 79, 82, 55]
[919, 458, 598, 144, 519, 773, 923, 72, 707, 674, 97, 136, 692, 375, 77]
[4, 9, 1, 12, 58, 88, 24, 85, 18, 56, 8, 37, 88, 41, 23]
[115, 442, 493, 387, 456, 213, 164, 752, 182, 304, 177, 647, 199, 660, 582]
[69, 79, 99, 63, 21, 94, 28, 94, 40, 70, 76, 45, 72, 72, 19]
[415, 324, 762, 123, 844, 283, 673, 63, 266, 247, 337, 390, 235, 718, 570]
[96, 70, 15, 77, 30, 54, 41, 34, 17, 17, 44, 25, 26, 13, 20]
[603, 510, 612, 911, 593, 968, 265, 943, 959, 87, 166, 201, 443, 411, 26]
[25, 81, 91, 49, 53, 65, 7, 52, 3, 88, 78, 0, 94, 24, 2]
[862, 583, 392, 429, 287, 36, 63, 659, 588, 691, 161, 249, 413, 473, 787]
[53, 58, 87, 27, 92, 38, 69, 85, 3, 49, 22, 96, 72, 17, 17]
[324, 570, 77, 280, 884, 609, 656, 879, 2, 491, 958, 717, 320, 592, 54]
[76, 69, 38, 88, 41, 14, 69, 3, 2, 91, 16, 93, 44, 25, 35]
[331, 825, 382, 6, 363, 71, 556, 970, 704, 15, 70, 17, 688, 633, 545]
[67, 94, 52, 23, 47, 12, 13, 48, 81, 13, 79, 46, 61, 33, 86]
[678, 77, 905, 629, 708, 290, 411, 705, 349, 256, 50, 990, 291, 366, 840]
[57, 76, 68, 62, 83, 31, 47, 37, 8, 55, 75, 92, 35, 73, 73]
[423, 403, 31, 470, 298, 108, 764, 96, 661, 163, 769, 35, 345, 57, 747]
[84, 79, 12, 56, 30, 75, 46, 66, 19, 84, 64, 34, 13, 12, 97]
[601, 896, 351, 85, 646, 372, 263, 155, 90, 441, 72, 592, 582, 6, 66]
[62, 91, 0, 44, 40, 7, 56, 94, 95, 69, 11, 96, 85, 86, 26]
[365, 968, 424, 621, 741, 48, 26, 253, 645, 444, 845, 268, 115, 584, 796]
[37, 81, 81, 32, 98, 60, 8, 94, 52, 52, 31, 37, 22, 5, 4]
[230, 555, 94, 6, 365, 562, 560, 366, 73, 832, 392, 418, 909, 753, 724]
[84, 28, 31, 84, 40, 7, 76, 36, 23, 40, 47, 96, 57, 52, 37]
[611, 740, 212, 243, 536, 706, 874, 781, 967, 121, 306, 524, 586, 458, 270]
[95, 17, 76, 20, 49, 16, 11, 42, 22, 99, 47, 74, 59, 64, 23]
[437, 94, 270, 775, 831, 459, 407, 673, 405, 725, 802, 502, 835, 420, 103]
[66, 68, 96, 52, 73, 58, 26, 88, 54, 74, 85, 64, 92, 28, 11]
[296, 449, 944, 147, 409, 653, 392, 211, 116, 672, 851, 640, 745, 837, 278]
[40, 62, 31, 33, 82, 8, 92, 70, 19, 16, 32, 70, 26, 38, 6]
[911, 757, 864, 584, 174, 53, 598, 77, 629, 304, 440, 835, 994, 455, 456]
[89, 66, 63, 56, 36, 36, 82, 64, 55, 67, 17, 23, 0, 52, 36]
[964, 709, 409, 488, 240, 296, 270, 752, 739, 530, 189, 64, 939, 650, 394]
[77, 95, 51, 55, 34, 60, 35, 77, 85, 80, 10, 40, 25, 38, 59]
