[50, 55, 21, 72, 32, 36, 69, 98, 31, 76, 7, 40, 15, 30, 20, 52, 39, 40, 2, 46]
[117, 643, 986, 842, 931, 188, 474, 955, 52, 978, 351, 287, 365, 331, 85, 685, 859, 125, 231, 273]
[83, 39, 44, 39, 38, 65, 65, 23, 10, 68, 94, 15, 51, 26, 35, 73, 98, 27, 17, 65]
[520, 603, 576, 947, 384, 993, 912, 801, 251, 861, 927, 617, 223, 966, 864, 171, 536, 41, 541, 740]
[43, 54, 92, 58, 56, 49, 74, 89, 85, 41, 76, 5, 89, 73, 92, 25, 12, 31, 82, 51]
[229, 880, 8, 380, 483, 417, 975, 507, 818, 324, 322, 442, 364, 919, 927, 11, 419, 200, 723, 921]
[81, 81, 70, 72, 40, 85, 82, 80, 68, 49, 85, 45, 35, 3, 98, 76, 22, 64, 61, 20]
[91, 770, 75, 304, 753, 779, 251, 587, 164, 544, 443, 134, 432, 724, 420, 624, 779, 683, 775, 948]
[43, 83, 40, 76, 96, 81, 77, 99, 54, 88, 42, 96, 29, 32, 91, 86, 30, 69, 59, 95]
[216, 301, 275, 373, 238, 622, 880, 420, 245, 842, 790, 347, 620, 358, 767, 23, 872, 917, 958, 709]
[54, 52, 55, 83, 43, 89, 10, 44, 84, 84, 5, 27, 71, 44, 27, 74, 89, 68, 65, 57]
[825, 340, 167, 610, 590, 395, 257, 405, 235, 825, 738, 186, 79, 112, 653, 555, 815, 228, 231, 967]
[82, 82, 3, 99, 60, 20, 83, 13, 25, 19, 90, 57, 16, 96, 35, 58, 18, 70, 3, 27]
[385, 227, 38, 272, 355, 87, 992, 243, 901, 63, 330, 151, 291, 641, 534, 727, 574, 782, 151, 837]
[90, 35, 4, 31, 3, 8, 74, 37, 11, 17, 85, 79, 13, 55, 74, 55, 71, 41, 8, 75]
[236, 204, 779, 886, 41, 678, 675, 173, 137, 592, 659, 345, 798, 40, 939, 338, 423, 654, 190, 113]
[77, 29, 14, 7, 97, 48, 24, 91, 91, 87, 40, 11, 98, 32, 76, 81, 1, 77, 30, 51]
[697, 656, 737, 112, 132, 829, 811, 952, 106, 592, 52, 701, 841, 159, 804, 596, 877, 943, 656, 93]
[77, 34, 53, 65, 49, 20, 70, 6, 96, 45, 29, 12, 23, 39, 61, 70, 33, 22, 61, 64]
[616, 318, 620, 739, 173, 604, 364, 617, 859, 562, 302, 755, 75, 58, 831, 760, 192, 869, 898, 726]
[62, 0, 65, 3, 30, 58, 97, 72, 10, 84, 50, 99, 48, 57, 6, 62, 77, 57, 32, 19]
[664, 747, 465, 687, 761, 803, 271, 660, 867, 550, 734, 74, 42, 669, 636, 795, 529, 756, 918, 491]
[44, 53, 25, 94, 28, 67, 98, 99, 1, 63, 16, 31, 93, 74, 41, 30, 27, 81, 68, 45]
[524, 903, 982, 672, 955, 171, 920, 233, 420, 285, 879, 890, 938, 720, 177, 290, 810, 147, 492, 165]
[39, 64, 93, 79, 25, 2, 60, 14, 8, 66, 20, 54, 31, 95, 22, 75, 8, 33, 24, 47]
[892, 687, 149, 23, 373, 418, 591, 328, 245, 62, 215, 248, 866, 648, 952, 269, 78, 420, 536, 446]
[85, 90, 74, 40, 76, 34, 83, 36, 39, 9, 86, 50, 96, 85, 27, 40, 66, 93, 78, 25]
[277, 67, 599, 504, 263, 753, 994, 557, 552, 613, 478, 227, 940, 860, 381, 335, 978, 768, 725, 9]
[94, 38, 47, 87, 63, 50, 27, 12, 22, 57, 7, 98, 62, 50, 99, 59, 50, 53, 28, 72]
[97, 601, 4, 785, 946, 428, 565, 799, 929, 2, 907, 284, 281, 499, 285, 863, 574, 954, 704, 342]
[50, 45, 35, 90, 98, 90, 51, 11, 3, 47, 17, 96, 94, 15, 38, 96, 2, 56, 20, 43]
[994, 78, 934, 589, 119, 201, 816, 932, 821, 773, 158, 962, 79, 92, 438, 396, 422, 272, 942, 400]
[11, 72, 8, 77, 2, 11, 37, 24, 5, 93, 46, 6, 94, 21, 15, 74, 58, 17, 76, 92]
[648, 710, 253, 929, 265, 912, 460, 584, 20, 542, 716, 430, 788, 431, 579, 328, 986, 152, 89, 242]
[31, 13, 88, 42, 95, 15, 23, 86, 5, 54, 33, 8, 70, 69, 50, 31, 73, 13, 63, 18]
[13, 221, 284, 607, 623, 163, 354, 570, 919, 915, 784, 244, 548, 755, 327, 321, 141, 89, 773, 782]
[53, 6, 82, 99, 85, 20, 9, 49, 9, 63, 31, 83, 16, 71, 78, 82, 70, 23, 40, 85]
[223, 317, 385, 416, 51, 174, 590, 333, 657, 922, 840, 314, 233, 505, 637, 295, 43, 18, 507, 26]
[72, 34, 63, 78, 31, 97, 44, 57, 71, 40, 51, 39, 47, 50, 96, 56, 28, 40, 73, 51]
[535, 961, 115, 398, 821, 444, 688, 951, 870, 800, 201, 591, 3, 336, 885, 696, 478, 192, 172, 988]
[62, 45, 86, 46, 70, 97, 79, 48, 41, 54, 73, 89, 9, 28, 9, 65, 1, 76, 39, 68]
[314, 303, 153, 385, 33, 284, 206, 669, 860, 731, 833, 178, 78, 679, 818, 0, 97, 209, 20, 144]
